点类型,点数量
0,1261
0,1,2,4,49,15,13,10,12,11,17,79,19,18,34,51,60,52,53,54,55,56,57,61,62,63,64,65,66,70,91,75,69,36,37,38,39,46,47,48,40,41,42,43,44,45,71,72,73,6,7,
NAME,KIND,DESC,UNIT,FORMAT,LASTPV,PV,EU,EULO,EUHI,PVRAW,SCALEFL,PVRAWLO,PVRAWHI,STATIS,ALMENAB,DEADBAND,LL,LO,HI,HH,RATE,DEV,LLPR,LOPR,HIPR,HHPR,RATEPR,DEVPR,RATECYC,SP,SQRTFL,ALARMDELAY,LINEFL,LINETBL,ROCFL,ROC,L3,L4,L5,L3PR,L4PR,L5PR,H3PR,H4PR,H5PR,H3,H4,H5,GROUP,INDEX,
区域,点数量
0,1261
yf\VD500,0,一号罐压力,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8992,
yf\VD504,0,二号罐压力,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8993,
yf\VD508,0,三号罐压力,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8994,
yf\VD512,0,一号罐温度,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8995,
yf\VD516,0,二号罐温度,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8996,
yf\VD520,0,三号罐温度,9,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,20.000,20.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,6.000,4.000,2.000,0,0,0,0,0,0,96.000,98.000,100.000,0,8997,
